City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
402,Tarboro,35.8968,-77.5358,49.91,81,100,5.75
403,Zarate,-34.0981,-59.0286,54.84,91,91,1.99
404,Wuzhou,23.4833,111.3167,76.71,77,100,3.58
405,Suileng,47.25,127.0833,73.99,16,0,15.01
406,Coquimbo,-29.9533,-71.3436,53.33,87,0,5.75
407,Guantanamo,20.1444,-75.2092,80.17,92,0,1.34
408,Primorsk,46.7348,36.3443,51.98,60,0,7.31
409,Elat,29.5581,34.9482,66.04,52,0,6.91
410,Kunming,25.0389,102.7183,69.73,56,75,15.66
411,Rundu,-17.9333,19.7667,55.38,38,0,5.32
412,Yumen,40.2833,97.2,72.3,25,60,3.62
413,Awjilah,29.1081,21.2869,64.63,42,0,9.48
414,Maragogi,-9.0122,-35.2225,75.15,87,36,7.29
415,Biak,-0.9131,122.8766,83.17,76,95,6.8
416,Matanzas,23.0411,-81.5775,75.96,94,40,3.44
417,Takoradi,4.8845,-1.7554,78.48,88,100,5.14
418,Meulaboh,4.1363,96.1285,84.76,72,100,4.18
419,Lata,40.1629,-8.3327,56.7,77,14,3.09
420,Iranshahr,27.2025,60.6848,91.74,19,0,4.61
421,Egvekinot,66.3167,-179.1667,29.21,81,100,6.76
422,Saint Anthony,45.0205,-93.218,58.93,70,100,16.11
423,Moelv,60.9333,10.7,35.94,56,95,0.98
424,Shuangyang,43.5242,125.6736,71.71,15,0,9.64
425,Batagay-Alyta,67.8006,130.4114,26.51,83,100,13.87
426,General Pico,-35.6566,-63.7568,61.83,65,93,4.59
427,Kachiry,53.0675,76.1036,61.99,32,13,6.49
428,Papa,47.33,17.4674,53.53,100,75,0.0
429,Turgutlu,38.4953,27.6997,56.59,77,63,1.3
430,Kununurra,-15.7667,128.7333,87.78,19,1,10.36
431,Barkly West,-28.5354,24.5215,38.48,76,3,3.11
432,Sabzevar,36.2126,57.6819,65.48,52,40,4.61
433,Rovnoye,50.7765,46.0509,50.97,56,94,9.15
434,Along,28.1667,94.7667,88.66,47,18,1.63
435,Te Anau,-45.4167,167.7167,54.57,81,70,3.29
436,Birpur,26.5167,87.0167,91.4,44,7,9.93
437,Kushmurun,52.4503,64.6311,58.96,26,49,19.24
438,Quthing,-30.4,27.7003,44.62,83,6,2.17
439,Isernia,41.6002,14.2382,55.53,93,96,6.62
440,Nanyang,32.9947,112.5328,51.8,76,100,13.89
441,Camana,-16.6228,-72.7111,65.17,89,40,11.16
442,Pochutla,15.7432,-96.4661,79.83,72,51,2.42
443,Saint-Georges,12.0564,-61.7485,80.28,83,75,19.57
444,Charlestown,-32.95,151.6667,69.03,75,9,4.0
445,Moose Factory,51.2585,-80.6094,55.4,37,0,8.05
